state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
Minnesota,2010,67,46,21,0,134,87,47,0
Mississippi,2010,52,26,25,0,122,74,48,0
Missouri,2010,34,11,23,0,163,73,89,0
Montana,2010,50,23,27,0,100,50,50,0
Nebraska,2010,49,0,0,49,0,0,0,0
Nevada,2010,21,12,8,0,42,28,14,0
New Hampshire,2010,24,14,10,0,400,222,175,0
New Jersey,2010,40,23,17,0,80,47,33,0
New Mexico,2010,42,27,15,0,70,45,25,0
New York,2010,62,32,30,0,150,109,41,0
North Carolina,2010,50,30,20,0,120,68,52,0
North Dakota,2010,47,21,26,0,94,36,58,0
Ohio,2010,33,12,21,0,99,53,46,0
Oklahoma,2010,48,22,26,0,101,40,61,0
Oregon,2010,30,18,12,0,60,36,24,0
Pennsylvania,2010,50,20,30,0,203,103,97,0
Rhode Island,2010,38,33,4,1,75,69,6,0
South Carolina,2010,46,19,27,0,124,51,73,0
South Dakota,2010,35,14,21,0,70,24,46,0
Tennessee,2010,33,14,19,0,99,47,50,1
Texas,2010,31,12,19,0,150,73,77,0
Utah,2010,29,8,21,0,75,22,53,0
Vermont,2010,30,22,7,1,150,95,48,7
Virginia,2010,40,22,18,0,100,39,59,2
Washington,2010,49,31,18,0,98,62,36,0
West Virginia,2010,34,26,8,0,100,71,29,0
Wisconsin,2010,33,18,15,0,99,52,46,1
Wyoming,2010,30,7,23,0,60,19,41,0
Alabama,2011,35,12,22,1,105,39,66,0
Alaska,2011,20,10,10,0,40,16,24,0
Arizona,2011,30,9,21,0,60,20,40,0
Arkansas,2011,35,20,15,0,100,55,44,0
California,2011,40,25,15,0,80,52,28,0
Colorado,2011,35,20,15,0,65,32,33,0
Connecticut,2011,36,23,13,0,151,100,51,0
Delaware,2011,21,14,7,0,41,26,15,0
Florida,2011,40,12,28,0,120,39,81,0
Georgia,2011,56,20,36,0,180,66,113,1
Hawaii,2011,25,24,1,0,51,43,8,0
Idaho,2011,35,7,28,0,70,13,57,0
Illinois,2011,59,35,24,0,118,64,54,0
Indiana,2011,50,13,37,0,100,40,59,0
Iowa,2011,50,26,24,0,100,40,60,0
Kansas,2011,40,8,32,0,125,33,92,0
Kentucky,2011,38,15,22,1,100,58,42,0
Louisiana,2011,39,20,18,1,105,49,52,4
Maine,2011,35,14,20,1,151,72,78,1
Maryland,2011,47,35,12,0,141,98,43,0
Massachusetts,2011,40,36,4,0,160,128,31,0
Michigan,2011,38,12,26,0,110,47,63,0
Minnesota,2011,67,30,37,0,134,62,72,0
Mississippi,2011,52,26,25,0,122,72,50,0
Missouri,2011,34,8,26,0,163,57,106,0
Montana,2011,50,22,28,0,100,32,68,0
Nebraska,2011,49,0,0,49,0,0,0,0
Nevada,2011,21,11,10,0,42,26,16,0
New Hampshire,2011,24,5,19,0,400,102,298,0
New Jersey,2011,40,24,16,0,80,47,33,0
New Mexico,2011,42,27,15,0,70,37,33,0
New York,2011,62,30,32,0,150,100,48,0
North Carolina,2011,50,19,31,0,120,52,67,1
North Dakota,2011,47,12,35,0,94,25,69,0
Ohio,2011,33,10,23,0,99,40,59,0
Oklahoma,2011,48,16,32,0,101,31,70,0
Oregon,2011,30,16,14,0,60,30,30,0
Pennsylvania,2011,50,20,30,0,203,91,112,0
Rhode Island,2011,38,29,8,1,75,65,10,0
South Carolina,2011,46,19,27,0,124,48,75,0
South Dakota,2011,35,5,30,0,70,19,50,1
Tennessee,2011,33,13,19,0,99,33,64,1
Texas,2011,31,12,19,0,150,49,101,0
Utah,2011,29,7,22,0,75,17,58,0
Vermont,2011,30,22,8,0,150,95,48,7
Virginia,2011,40,22,18,0,100,39,59,2
Washington,2011,49,27,22,0,98,56,42,0
West Virginia,2011,34,28,6,0,100,65,35,0
Wisconsin,2011,33,14,19,0,99,38,60,1
Wyoming,2011,30,4,26,0,60,10,50,0
Alabama,2012,35,12,22,1,105,40,65,0
Alaska,2012,20,10,10,0,40,18,22,0
Arizona,2012,30,9,21,0,60,20,40,0
Arkansas,2012,35,20,15,0,100,55,45,0
California,2012,40,25,15,0,80,52,28,0
Colorado,2012,35,20,15,0,65,32,33,0
Connecticut,2012,36,22,14,0,151,100,51,0
Delaware,2012,21,14,7,0,41,26,15,0
Florida,2012,40,12,28,0,120,39,81,0
Georgia,2012,56,20,36,0,180,63,115,1
Hawaii,2012,25,24,1,0,51,43,8,0
Idaho,2012,35,7,28,0,70,13,57,0
Illinois,2012,59,35,24,0,118,64,54,0
Indiana,2012,50,13,37,0,100,40,60,0
Iowa,2012,50,26,24,0,100,40,60,0
Kansas,2012,40,8,32,0,125,33,92,0
Kentucky,2012,38,15,22,1,100,59,41,0
Louisiana,2012,39,15,24,0,105,45,58,2
Maine,2012,35,14,20,1,151,72,78,1
Maryland,2012,47,35,12,0,141,98,43,0
Massachusetts,2012,40,35,4,0,160,126,32,0
Michigan,2012,38,12,26,0,110,46,62,0
Minnesota,2012,67,28,37,0,134,61,72,0
Mississippi,2012,52,21,31,0,122,58,64,0
Missouri,2012,34,8,26,0,163,56,106,1
Montana,2012,50,22,28,0,100,32,68,0
Nebraska,2012,49,0,0,49,0,0,0,0
Nevada,2012,21,11,10,0,42,26,16,0
New Hampshire,2012,24,5,19,0,400,104,294,0
New Jersey,2012,40,24,16,0,80,48,30,0
New Mexico,2012,42,27,15,0,70,36,33,1
New York,2012,62,30,32,0,150,99,51,0
North Carolina,2012,50,19,31,0,120,52,67,1
North Dakota,2012,47,12,35,0,94,25,69,0
Ohio,2012,33,10,23,0,99,40,59,0
Oklahoma,2012,48,15,31,0,101,31,69,0
Oregon,2012,30,16,14,0,60,30,30,0
Pennsylvania,2012,50,20,30,0,203,91,112,0
Rhode Island,2012,38,29,8,1,75,65,10,0
South Carolina,2012,46,19,27,0,124,48,75,0
South Dakota,2012,35,5,30,0,70,19,50,1
Tennessee,2012,33,13,20,0,99,34,64,1
Texas,2012,31,12,19,0,150,49,101,0
Utah,2012,29,7,22,0,75,17,58,0
Vermont,2012,30,22,8,0,150,94,48,8
Virginia,2012,40,20,20,0,100,32,67,1
Washington,2012,49,27,22,0,98,56,42,0
West Virginia,2012,34,28,6,0,100,65,35,0
Wisconsin,2012,33,16,17,0,99,39,59,1
Wyoming,2012,30,4,26,0,60,10,50,0
Alabama,2013,35,11,23,1,105,39,64,0
Alaska,2013,20,7,13,0,40,15,25,0
Arizona,2013,30,13,17,0,60,24,36,0
Arkansas,2013,35,14,21,0,100,48,51,1
California,2013,40,26,12,0,80,54,26,0
Colorado,2013,35,19,16,0,65,36,29,0
Connecticut,2013,36,22,14,0,151,99,52,0
Delaware,2013,21,13,8,0,41,27,14,0
Florida,2013,40,14,26,0,120,46,74,0
Georgia,2013,56,18,38,0,180,60,119,1
Hawaii,2013,25,24,1,0,51,44,7,0
